Iteration,Train reward,Eval reward,TD loss,Epsiode
0,nan,-118.73565708926314,nan,0
100,-386.9709492474712,-118.73565708926314,nan,1
200,-323.68076863021975,-118.73565708926314,1.8995512413978577,2
300,-261.6149316317975,-118.73565708926314,1.3516199147701264,3
400,-229.97864635565116,-118.73565708926314,1.354569194316864,4
500,-229.97864635565116,-208.82420631304657,1.265205363035202,4
600,-199.14811866235385,-208.82420631304657,1.2508614584803581,5
700,-162.86799463506938,-208.82420631304657,1.7412869772315025,7
800,-155.5572859425941,-208.82420631304657,1.3780367170274257,8
900,-145.42716002224722,-208.82420631304657,1.2940229763090612,9
1000,-145.42716002224722,-13.917105867250537,1.5539908915758134,9
1100,-134.45637687506047,-13.917105867250537,1.4551811711490155,10
1200,-162.81731324241738,-13.917105867250537,1.190636650323868,11
1300,-159.60107813599066,-13.917105867250537,1.6463812366127968,12
1400,-154.5440529971643,-13.917105867250537,1.2813155573606492,13
1500,-141.6832705500959,-111.88925152010283,1.3779319670796395,14
1600,-149.10991424572242,-111.88925152010283,1.4549174284934998,15
1700,-149.10991424572242,-111.88925152010283,1.2727502487599849,15
1800,-147.098078166289,-111.88925152010283,1.2094580651819706,16
1900,-142.24304099137734,-111.88925152010283,1.4212991043925285,17
2000,-144.54268077440474,-34.57618573371646,1.2608754867315293,18
2100,-143.9326280165981,-34.57618573371646,1.1957717235386371,19
2200,-141.3485427567939,-34.57618573371646,1.420422986447811,20
2300,-125.35149591176022,-34.57618573371646,1.1993182799220086,21
2400,-125.35149591176022,-34.57618573371646,1.0973790986835956,21
2500,-120.97061694637698,-77.87495113133328,1.4943927469849587,22
2600,-118.43398081504331,-77.87495113133328,1.2914632549881935,23
2700,-115.5921144230438,-77.87495113133328,1.327376138716936,24
2800,-115.93436293310461,-77.87495113133328,1.4144392830133439,25
2900,-115.7204716827481,-77.87495113133328,1.1887835554778576,26
3000,-115.7204716827481,-44.24633695553851,1.1153376106917858,26
3100,-118.55060573821015,-44.24633695553851,1.5428577791154385,27
3200,-119.54543478228402,-44.24633695553851,1.227464782446623,28
3300,-127.69582838859296,-44.24633695553851,1.0390883192420006,29
3400,-127.50835437698834,-44.24633695553851,1.3898058691620827,30
3500,-105.27726470164649,-72.52043753449897,1.5371745961904526,31
3600,-105.27726470164649,-72.52043753449897,1.403092940747738,31
3700,-101.69125314379201,-72.52043753449897,1.4323684588074683,32
3800,-98.80786962833722,-72.52043753449897,1.4268414443731308,33
3900,-98.80786962833722,-72.52043753449897,1.4172403356432914,33
4000,-102.63367884651521,-107.03596549817397,1.5664501523971557,34
4100,-102.63367884651521,-107.03596549817397,1.2621424996852875,34
4200,-102.63367884651521,-107.03596549817397,1.339843780398369,34
4300,-90.40821068097463,-107.03596549817397,1.3973702988028527,35
4400,-90.40821068097463,-107.03596549817397,1.60568328499794,35
4500,-84.05809276922653,-31.268276891860307,1.3488592302799225,36
4600,-84.05809276922653,-31.268276891860307,1.5248637115955352,36
4700,-84.05809276922653,-31.268276891860307,1.2826352250576019,36
4800,-88.39828428482205,-31.268276891860307,1.2783508388698102,37
4900,-88.39828428482205,-31.268276891860307,1.3358234140276908,37
5000,-81.03926637408048,-6.153835826608446,1.3974803015589714,38
5100,-79.60887916472134,-6.153835826608446,1.3709846207499503,39
5200,-79.60887916472134,-6.153835826608446,1.3896061655879022,39
