Iteration,Train reward,Eval reward,TD loss,Episode,Epsilon
0,nan,-510.304104984332,nan,0,0.99
100,-151.21692514137865,-510.304104984332,9.169514656066895,6,0.9320653479069899
200,-204.43733489773194,-510.304104984332,14.537836046218873,11,0.8863848717161291
300,-198.72711803831513,-510.304104984332,12.232779469490051,17,0.8345137614500874
400,-207.1691469711398,-510.304104984332,12.731483068466186,22,0.7936142836436553
500,-219.30753955007657,-477.8775759276862,10.707535810470581,27,0.7547192872036325
600,-205.63556680584944,-477.8775759276862,10.750146226882935,30,0.7323033696543974
700,-209.5938313724908,-477.8775759276862,8.68163491010666,33,0.7105532272722921
800,-186.56204224496315,-477.8775759276862,8.322583751678467,37,0.682554595010387
900,-183.7046224808634,-477.8775759276862,7.385355517864228,40,0.6622820409839835
1000,-157.17970894398974,-286.1242383280092,6.728142697811126,43,0.6426116020847181
1100,-116.30246372937559,-286.1242383280092,8.546103014945984,48,0.6111172395328651
1200,-101.37258083514078,-286.1242383280092,7.4393886280059816,52,0.5870367819374844
1300,-107.18206659121988,-286.1242383280092,6.887478561401367,55,0.5696012024771592
1400,-102.14617811405438,-286.1242383280092,6.279958724975586,57,0.5582661385478638
1500,-102.14617811405438,-144.49034995258774,7.1944649577140805,57,0.5582661385478638
1600,-99.04589238732095,-144.49034995258774,7.801056668758393,60,0.5416850759668536
1700,-99.04589238732095,-144.49034995258774,7.18537602186203,60,0.5416850759668536
1800,-84.14928310667831,-144.49034995258774,6.775217764377594,62,0.5309055429551132
1900,-98.58757184408023,-144.49034995258774,6.526682901382446,65,0.5151371174238033
2000,-94.85847635132555,-54.865805149135426,6.441394073963165,67,0.5048858887870696
2100,-93.04046313886262,-54.865805149135426,7.696418075561524,70,0.4898902730042049
2200,-90.64488081857444,-54.865805149135426,7.001845827102661,73,0.475340042005707
2300,-76.57308631323781,-54.865805149135426,7.504209713935852,75,0.4658807751697934
2400,-82.70938228055405,-54.865805149135426,7.640891592502594,78,0.4520436502664754
2500,-75.1963665612568,-91.6056237419073,7.003744032382965,80,0.44304798162617254
2600,-72.32610357016188,-91.6056237419073,8.446931579113006,83,0.4298890135238936
2700,-72.34553689756584,-91.6056237419073,7.32886730670929,86,0.41712087993322045
2800,-71.07556511396047,-91.6056237419073,7.0846067452430725,87,0.41294967113388825
2900,-77.52602282689416,-91.6056237419073,7.159363942146301,88,0.40882017442254937
3000,-77.52602282689416,-32.44895150579195,6.817652142047882,88,0.40882017442254937
3100,-67.34899552943725,-32.44895150579195,7.394664714336395,90,0.40068465295154065
3200,-67.34899552943725,-32.44895150579195,6.634803552627563,90,0.40068465295154065
3300,-51.86644498041951,-32.44895150579195,6.419804673194886,92,0.392711028357805
3400,-51.86644498041951,-32.44895150579195,6.504070098400116,92,0.392711028357805
3500,-42.25529725603598,-74.19506638932543,6.687787125110626,93,0.38878391807422696
3600,-41.7646505985581,-74.19506638932543,7.896220157146454,94,0.3848960788934847
3700,-41.7646505985581,-74.19506638932543,7.740285694599152,94,0.3848960788934847
3800,-32.66060098591778,-74.19506638932543,7.656297743320465,96,0.37723664692350434
3900,-32.66060098591778,-74.19506638932543,6.707670300006867,96,0.37723664692350434
4000,-26.50005845803496,-11.297279202670989,6.922029943466186,97,0.37346428045426927
4100,-10.907072150251313,-11.297279202670989,6.706917405128479,100,0.36237201786049694
4200,-14.270358144027742,-11.297279202670989,7.131999742984772,101,0.358748297681892
4300,-14.187116424891206,-11.297279202670989,7.6068043971061705,102,0.35516081470507305
4400,-14.187116424891206,-11.297279202670989,6.821359963417053,102,0.35516081470507305
4500,-9.32355180030259,167.7961121846796,7.01731027007103,104,0.34809311449244207
4600,1.625309795222244,167.7961121846796,7.762502841949463,105,0.34461218334751764
4700,1.625309795222244,167.7961121846796,7.395612382888794,105,0.34461218334751764
4800,8.011108246783149,167.7961121846796,6.511256589889526,106,0.34116606151404244
4900,8.011108246783149,167.7961121846796,6.644644317626953,106,0.34116606151404244
5000,21.602997403200554,37.88347813168232,6.071057164669037,108,0.334376856889913
5100,19.60163169135931,37.88347813168232,6.775987360477448,109,0.33103308832101386
5200,19.60163169135931,37.88347813168232,6.562875533103943,109,0.33103308832101386
5300,21.976835147854874,37.88347813168232,6.394330661296845,110,0.3277227574378037
5400,21.976835147854874,37.88347813168232,6.277635262012482,110,0.3277227574378037
5500,17.78346832353472,65.67508403102562,6.418337626457214,112,0.3212010745647914
5600,16.261113988685747,65.67508403102562,6.688266932964325,113,0.3179890638191435
5700,16.261113988685747,65.67508403102562,5.84657467007637,113,0.3179890638191435
5800,18.927460777789626,65.67508403102562,5.551894195079804,114,0.31480917318095203
5900,18.927460777789626,65.67508403102562,5.4138194894790646,114,0.31480917318095203
6000,19.784176514947347,-15.923133502243692,5.732117967605591,115,0.3116610814491425
6100,26.9437376804446,-15.923133502243692,5.943570804595947,116,0.30854447063465107
6200,26.9437376804446,-15.923133502243692,6.2694177043437955,116,0.30854447063465107
6300,23.47050791171163,-15.923133502243692,6.171113141775131,118,0.3024044356690215
6400,23.47050791171163,-15.923133502243692,5.24161420583725,118,0.3024044356690215
6500,28.553074966499185,-19.851511207230555,6.341704250574112,119,0.29938039131233124
6600,42.214505715106576,-19.851511207230555,6.045114989280701,120,0.2963865873992079
6700,42.214505715106576,-19.851511207230555,5.116119618415833,120,0.2963865873992079
6800,48.35535764350718,-19.851511207230555,5.863214447498321,121,0.29342272152521587
6900,48.35535764350718,-19.851511207230555,5.866581145524979,121,0.29342272152521587
7000,55.598712441968,95.96977912113448,6.593265209197998,122,0.2904884943099637
7100,53.96314259730773,95.96977912113448,5.6471818566322325,124,0.2847077732731954
7200,53.96314259730773,95.96977912113448,5.506142981052399,124,0.2847077732731954
7300,50.03145533873965,95.96977912113448,6.4964431023597715,125,0.28186069554046345
7400,50.03145533873965,95.96977912113448,5.935543233156205,125,0.28186069554046345
7500,52.59985600249117,-38.902856781424944,5.1692602157592775,126,0.2790420885850588
7600,47.70020432383631,-38.902856781424944,5.571784542798996,127,0.2762516676992082
7700,47.70020432383631,-38.902856781424944,5.580746083259583,127,0.2762516676992082
7800,50.937584744284,-38.902856781424944,5.952150369882584,128,0.27348915102221616
7900,50.937584744284,-38.902856781424944,6.080202587842941,128,0.27348915102221616
8000,48.740337693993624,-19.977475853906824,5.542880127429962,129,0.270754259511994
8100,53.01063876112617,-19.977475853906824,5.946568142175675,130,0.26804671691687404
8200,53.01063876112617,-19.977475853906824,5.793169739246369,130,0.26804671691687404
8300,54.32981301607059,-19.977475853906824,5.633050684928894,131,0.2653662497477053
8400,54.32981301607059,-19.977475853906824,6.369827358722687,131,0.2653662497477053
8500,59.549340722543356,41.56945467319197,5.711337910890579,132,0.2627125872502282
8600,61.63701076576625,41.56945467319197,5.661028795242309,133,0.2600854613777259
8700,61.63701076576625,41.56945467319197,5.790183790922165,133,0.2600854613777259
8800,59.98309477273983,41.56945467319197,4.989946657419205,134,0.2574846067639487
8900,59.98309477273983,41.56945467319197,5.214452570676803,134,0.2574846067639487
9000,61.260566266793056,-24.227825897399608,5.292704192399978,135,0.2549097606963092
9100,58.29908767553751,-24.227825897399608,5.242596237659455,136,0.2523606630893461
9200,58.29908767553751,-24.227825897399608,4.924620904922485,136,0.2523606630893461
9300,55.440621108950936,-24.227825897399608,5.3145528924465175,137,0.24983705645845267
9400,55.440621108950936,-24.227825897399608,4.384026043415069,137,0.24983705645845267
9500,61.833000344570756,-36.851533451446464,4.835828680992126,138,0.24733868589386815
9600,59.849927859225616,-36.851533451446464,5.380555671453476,139,0.24486529903492946
9700,59.849927859225616,-36.851533451446464,4.755149782896042,139,0.24486529903492946
