Iteration,Train reward,Eval reward,TD loss,Episode,Epsilon
0,nan,-668.501413360795,nan,0,0.99
100,-99.82873555378829,-668.501413360795,nan,1,0.9801
200,-158.36008241697544,-668.501413360795,nan,3,0.96059601
300,-211.3560057808149,-668.501413360795,nan,4,0.9509900498999999
400,-199.7481696138267,-668.501413360795,nan,5,0.9414801494009999
500,-208.74108387096763,-647.0047127399733,5.864483833312988,6,0.9320653479069899
600,-229.74469963395416,-647.0047127399733,155.05806743621827,8,0.9135172474836407
700,-225.21866456023906,-647.0047127399733,116.75455142259598,9,0.9043820750088043
800,-218.6866966841451,-647.0047127399733,119.11626480340958,10,0.8953382542587163
900,-213.02698819406794,-647.0047127399733,114.38288782119751,11,0.8863848717161291
1000,-227.89982277522859,-1418.134302739806,113.05218760013581,12,0.8775210229989678
1100,-205.9653799977873,-1418.134302739806,112.72417917251587,14,0.8600583546412883
1200,-205.9653799977873,-1418.134302739806,138.90425326943398,14,0.8600583546412883
1300,-199.6838800920108,-1418.134302739806,78.76016740202904,15,0.8514577710948754
1400,-195.88749702199723,-1418.134302739806,105.4810758113861,17,0.8345137614500874
1500,-190.7733518369574,-1324.9605292983076,85.03757707595825,18,0.8261686238355865
1600,-186.40376889979237,-1324.9605292983076,102.7482803118229,19,0.8179069375972307
1700,-194.92542593559017,-1324.9605292983076,73.42809348702431,21,0.8016305895390458
1800,-197.39585009482792,-1324.9605292983076,94.97422351121902,22,0.7936142836436553
1900,-197.39585009482792,-1324.9605292983076,83.41709759831429,22,0.7936142836436553
2000,-204.26635903509472,-404.44162104954455,127.22891083359718,23,0.7856781408072188
2100,-190.5137659674987,-404.44162104954455,97.1972149014473,24,0.7778213593991465
2200,-173.28389132135212,-404.44162104954455,87.36904212474823,26,0.7623427143471035
2300,-165.0448620906404,-404.44162104954455,100.69310757279396,27,0.7547192872036325
2400,-156.79879439741507,-404.44162104954455,90.49794049501419,28,0.7471720943315961
2500,-156.79879439741507,-280.3333425744435,71.6317188757658,28,0.7471720943315961
2600,-151.5431605663004,-280.3333425744435,83.7376181614399,30,0.7323033696543974
2700,-146.02523194477502,-280.3333425744435,127.69271447181701,31,0.7249803359578534
2800,-137.13795153269334,-280.3333425744435,95.18597983956337,32,0.7177305325982748
2900,-139.57445072290255,-280.3333425744435,89.13735958695412,33,0.7105532272722921
3000,-139.57445072290255,-227.9208666432347,91.49361672520638,33,0.7105532272722921
3100,-141.57435848558058,-227.9208666432347,92.55239088177682,34,0.7034476949995692
3200,-158.2650250218548,-227.9208666432347,65.87838730573654,35,0.6964132180495735
3300,-159.8555388599137,-227.9208666432347,84.82477155566215,36,0.6894490858690777
3400,-159.8555388599137,-227.9208666432347,105.80076805710793,36,0.6894490858690777
3500,-149.21796468450754,-175.54088655098116,55.55455194711685,37,0.682554595010387
3600,-149.0620301810037,-175.54088655098116,55.66051196098328,38,0.6757290490602831
3700,-162.13996534924175,-175.54088655098116,68.22435828566552,39,0.6689717585696803
