Iteration,Train reward,Eval reward,TD loss,Episode,Epsilon
0,nan,-135.93650922569407,nan,0,0.99
100,-100.24509409833473,-135.93650922569407,1.1349581480026245,2,0.9702989999999999
200,-230.75710545881603,-135.93650922569407,2.5743780648708343,3,0.96059601
300,-196.81029624544786,-135.93650922569407,1.947749525308609,4,0.9509900498999999
400,-173.21548690529585,-135.93650922569407,1.6392388665676116,6,0.9320653479069899
500,-163.88651662390131,-754.5969148532594,1.8731816452741623,7,0.92274469442792
600,-145.6960804958784,-754.5969148532594,2.1149215039610865,9,0.9043820750088043
700,-154.94785893010624,-754.5969148532594,1.8777222855389117,10,0.8953382542587163
800,-146.87127394916666,-754.5969148532594,1.534651247113943,11,0.8863848717161291
900,-143.14326508090343,-754.5969148532594,2.08376833409071,12,0.8775210229989678
1000,-143.14326508090343,-338.8304352576653,1.5860502533614635,12,0.8775210229989678
1100,-150.18574983800374,-338.8304352576653,1.9980202639102935,13,0.8687458127689781
1200,-153.22352043052393,-338.8304352576653,1.7228235305845738,14,0.8600583546412883
1300,-159.27597732838566,-338.8304352576653,1.8930161958932876,15,0.8514577710948754
1400,-157.27546216572512,-338.8304352576653,1.6582886481285095,16,0.8429431933839266
1500,-151.41850710690665,-66.0355854863864,1.7068614299595355,17,0.8345137614500874
1600,-148.98790352810406,-66.0355854863864,2.023345963060856,18,0.8261686238355865
1700,-145.69872557087027,-66.0355854863864,1.468302884697914,19,0.8179069375972307
1800,-146.5917137655007,-66.0355854863864,1.7024189914762973,20,0.8097278682212583
1900,-145.48402450159162,-66.0355854863864,1.7654049494862556,21,0.8016305895390458
2000,-144.74654013064182,-88.24368743480201,1.3943926502764226,22,0.7936142836436553
2100,-126.32623987129644,-88.24368743480201,1.6167854940891266,23,0.7856781408072188
2200,-128.35215645726836,-88.24368743480201,1.4570894472301006,24,0.7778213593991465
2300,-122.17476111397278,-88.24368743480201,1.4009916427731515,26,0.7623427143471035
2400,-120.62309572735793,-88.24368743480201,1.8916746905446054,27,0.7547192872036325
2500,-120.62309572735793,-55.33143781823718,1.7061410976946354,27,0.7547192872036325
2600,-112.74811630781224,-55.33143781823718,1.9289100152254104,29,0.7397003733882802
2700,-112.74811630781224,-55.33143781823718,1.8460233621299267,29,0.7397003733882802
2800,-103.9047276557216,-55.33143781823718,1.7397318343818187,30,0.7323033696543974
2900,-107.16527684181081,-55.33143781823718,1.861826022565365,31,0.7249803359578534
3000,-104.29385854882239,-74.34439932519516,1.7108566729724408,32,0.7177305325982748
3100,-91.79779464944052,-74.34439932519516,1.8721060898900033,33,0.7105532272722921
3200,-81.61896227920815,-74.34439932519516,1.6705878213047982,34,0.7034476949995692
3300,-81.19360063243965,-74.34439932519516,1.387241235077381,35,0.6964132180495735
3400,-78.18191944685177,-74.34439932519516,1.5702134403586387,36,0.6894490858690777
3500,-72.9363392707679,-34.16609274987692,1.6885631015896798,37,0.682554595010387
3600,-68.03151043653729,-34.16609274987692,1.6190731579065323,38,0.6757290490602831
3700,-73.2024348332088,-34.16609274987692,1.4567066983878612,39,0.6689717585696803
3800,-73.2024348332088,-34.16609274987692,1.6071691705286504,39,0.6689717585696803
3900,-71.4472790959405,-34.16609274987692,1.5435313299298286,40,0.6622820409839835
4000,-70.31503994422731,-106.4147911879849,1.5489545433223249,41,0.6556592205741436
4100,-68.55300293787383,-106.4147911879849,1.6563242737948896,42,0.6491026283684022
4200,-66.57618048295917,-106.4147911879849,1.7313947097957134,43,0.6426116020847181
4300,-62.66845879025826,-106.4147911879849,1.3159201227128505,44,0.6361854860638709
4400,-62.81003381343114,-106.4147911879849,1.5783412910997867,45,0.6298236312032323
4500,-62.81003381343114,-102.06240125770871,1.5080048786103726,45,0.6298236312032323
