Iteration,Train reward,Eval reward,TD loss,Episode,Epsilon
0,nan,-591.8106980023648,nan,0,0.99
100,-109.93101751912866,-591.8106980023648,1.5287971496582031,2,0.9702989999999999
200,-145.3068782580934,-591.8106980023648,2.4129030400514604,3,0.96059601
300,-136.75661705075373,-591.8106980023648,1.736724247932434,4,0.9509900498999999
400,-152.8670125140369,-591.8106980023648,2.1119709837436678,5,0.9414801494009999
500,-146.5966736882825,-819.6524417820514,1.9384225349128246,6,0.9320653479069899
600,-141.6045170508744,-819.6524417820514,2.3315844398736956,8,0.9135172474836407
700,-141.6045170508744,-819.6524417820514,2.210313496887684,8,0.9135172474836407
800,-159.79673690370936,-819.6524417820514,1.8078341090679169,10,0.8953382542587163
900,-152.46760600903906,-819.6524417820514,1.469281357228756,11,0.8863848717161291
1000,-145.3265498905129,-569.7474890352572,1.5843409296870232,12,0.8775210229989678
1100,-140.298569314839,-569.7474890352572,1.7844226834177972,13,0.8687458127689781
1200,-154.8169684112311,-569.7474890352572,1.659561074078083,14,0.8600583546412883
1300,-147.5256684241584,-569.7474890352572,1.9274241624772548,15,0.8514577710948754
1400,-156.58734792971745,-569.7474890352572,2.0714791586995123,17,0.8345137614500874
1500,-153.60847312967465,-185.46775040564793,1.926382573544979,18,0.8261686238355865
1600,-144.343536542261,-185.46775040564793,2.1133183686435224,20,0.8097278682212583
1700,-144.3382325264611,-185.46775040564793,1.566171443462372,21,0.8016305895390458
1800,-144.3382325264611,-185.46775040564793,1.8797227789461612,21,0.8016305895390458
1900,-152.49195328932183,-185.46775040564793,1.5471707054972648,22,0.7936142836436553
2000,-143.2633912346593,-196.08819707904084,1.5816891357302665,24,0.7778213593991465
2100,-135.58796032737482,-196.08819707904084,2.290213495194912,26,0.7623427143471035
2200,-135.58796032737482,-196.08819707904084,1.5757765325903892,26,0.7623427143471035
2300,-129.87678665223441,-196.08819707904084,1.8700980485230685,28,0.7471720943315961
2400,-113.62743445891309,-196.08819707904084,1.97680388122797,29,0.7397003733882802
2500,-113.62743445891309,-132.87822734945945,1.5455492644011974,29,0.7397003733882802
2600,-111.45390925581549,-132.87822734945945,1.7960427932441234,30,0.7323033696543974
2700,-111.70103763439147,-132.87822734945945,1.5593773232400416,31,0.7249803359578534
2800,-114.10718462852564,-132.87822734945945,1.3117194071412086,32,0.7177305325982748
2900,-120.90756597308712,-132.87822734945945,1.4047294133901596,33,0.7105532272722921
3000,-109.52938551706109,-93.85969766546255,1.4632398928701877,34,0.7034476949995692
3100,-107.50516127939572,-93.85969766546255,1.4278842443227768,35,0.6964132180495735
3200,-96.28137660135869,-93.85969766546255,1.5317695240676403,36,0.6894490858690777
3300,-94.75728850360682,-93.85969766546255,1.721253085285425,37,0.682554595010387
3400,-94.75728850360682,-93.85969766546255,1.4666217732429505,37,0.682554595010387
3500,-95.28329735878583,-96.37372789829595,1.5865188694000245,38,0.6757290490602831
3600,-98.45074570613443,-96.37372789829595,1.5515690219402314,40,0.6622820409839835
3700,-98.45074570613443,-96.37372789829595,1.2945222114026547,40,0.6622820409839835
3800,-94.77223717911616,-96.37372789829595,1.7522729124128817,41,0.6556592205741436
3900,-94.77223717911616,-96.37372789829595,1.6630538266897201,41,0.6556592205741436
4000,-86.06868688517001,-124.06449810206034,1.4832628506422043,42,0.6491026283684022
4100,-85.22114379119849,-124.06449810206034,1.7842387518286704,43,0.6426116020847181
4200,-88.28972296010133,-124.06449810206034,1.4162229414284229,44,0.6361854860638709
4300,-90.41938073365601,-124.06449810206034,1.3895479851961137,45,0.6298236312032323
4400,-89.41370570788816,-124.06449810206034,1.2080749355256557,46,0.6235253948912
4500,-92.65044052467178,-122.67784362624391,1.4787146818637849,47,0.617290140942288
4600,-90.10099269939472,-122.67784362624391,1.6090302529931069,48,0.6111172395328651
4700,-87.71692178912787,-122.67784362624391,1.3702296069264412,49,0.6050060671375365
4800,-87.71692178912787,-122.67784362624391,1.302576190829277,49,0.6050060671375365
4900,-88.9248057177528,-122.67784362624391,1.436486508846283,50,0.5989560064661611
5000,-85.62805223220275,-132.02373452930613,1.4575372344255448,51,0.5929664464014994
5100,-79.16704888868841,-132.02373452930613,1.6718002343177796,52,0.5870367819374844
5200,-72.29372052918998,-132.02373452930613,1.410266028046608,53,0.5811664141181095
5300,-69.94340903213114,-132.02373452930613,1.3729609969258307,54,0.5753547499769285
5400,-69.94340903213114,-132.02373452930613,1.433216030076146,54,0.5753547499769285
5500,-69.94340903213114,-127.53454519829552,1.4169881902635098,54,0.5753547499769285
5600,-64.21868222795783,-127.53454519829552,1.3839093120396138,55,0.5696012024771592
5700,-61.43748871236229,-127.53454519829552,1.2404505917429924,56,0.5639051904523876
5800,-58.84716760056547,-127.53454519829552,1.6168588604032994,57,0.5582661385478638
5900,-54.58914216338385,-127.53454519829552,1.486169164776802,58,0.5526834771623851
6000,-54.58914216338385,-116.690015189952,1.5097939603030681,58,0.5526834771623851
6100,-46.76597948815941,-116.690015189952,1.7590218558907509,60,0.5416850759668536
6200,-46.76597948815941,-116.690015189952,1.3383294314146041,60,0.5416850759668536
6300,-46.76597948815941,-116.690015189952,1.5712147523462772,60,0.5416850759668536
6400,-48.599282008512944,-116.690015189952,1.4843265649676323,61,0.536268225207185
6500,-42.96606222957044,-169.39768368175206,1.4193987968564032,62,0.5309055429551132
6600,-40.793568244457894,-169.39768368175206,1.4918855956196786,63,0.525596487525562
6700,-35.12813590904799,-169.39768368175206,1.6165995262563229,64,0.5203405226503064
6800,-35.90691081931526,-169.39768368175206,1.2664957247674464,65,0.5151371174238033
6900,-35.90691081931526,-169.39768368175206,1.399300141632557,65,0.5151371174238033
7000,-28.15445684965897,-155.65579946773664,1.342707165926695,66,0.5099857462495653
7100,-24.68498142516763,-155.65579946773664,1.5281275597214699,68,0.4998370298991989
7200,-26.4212277461305,-155.65579946773664,1.4595283350348474,69,0.49483865960020695
7300,-26.4212277461305,-155.65579946773664,1.6889045530557631,69,0.49483865960020695
7400,-26.4212277461305,-155.65579946773664,1.2783879663050175,69,0.49483865960020695
