Iteration,Train reward,Eval reward,TD loss,Episode,Epsilon
0,nan,-135.13504891550616,nan,0,0.99
100,-155.22303642029976,-135.13504891550616,9.705156326293945,5,0.9414801494009999
200,-179.9943034129397,-135.13504891550616,11.585723056793213,10,0.8953382542587163
300,-191.07119209774643,-135.13504891550616,11.000204713344575,15,0.8514577710948754
400,-165.83433020723857,-135.13504891550616,10.04906232357025,22,0.7936142836436553
500,-163.98099821975697,-232.88841407346771,10.429444513320924,27,0.7547192872036325
600,-147.95237402208696,-232.88841407346771,10.183134846687317,33,0.7105532272722921
700,-142.315998253167,-232.88841407346771,8.560830342769624,39,0.6689717585696803
800,-140.12421385385764,-232.88841407346771,8.45139033317566,42,0.6491026283684022
900,-125.78082070522116,-232.88841407346771,8.04221631526947,46,0.6235253948912
1000,-125.25018471769849,-231.16395599381022,7.765910906791687,50,0.5989560064661611
1100,-113.82501939250491,-231.16395599381022,7.825705053806305,54,0.5753547499769285
1200,-110.27692314582104,-231.16395599381022,6.615545415878296,57,0.5582661385478638
1300,-121.84031609510423,-231.16395599381022,6.5007923984527585,61,0.536268225207185
1400,-131.67137247738398,-231.16395599381022,6.41023738861084,65,0.5151371174238033
1500,-138.2498164486637,-332.6634460575939,5.999941312074661,68,0.4998370298991989
1600,-147.84250655745396,-332.6634460575939,7.276017727851868,73,0.475340042005707
1700,-147.91956883744803,-332.6634460575939,6.38137900352478,75,0.4658807751697934
1800,-144.61361650427966,-332.6634460575939,6.136297044754028,77,0.45660974774391455
1900,-130.99527256084468,-332.6634460575939,5.747538602352142,80,0.44304798162617254
2000,-127.3833611877255,-411.1232887153325,5.972657516002655,81,0.4386175018099108
2100,-123.46329511748323,-411.1232887153325,6.840042686462402,83,0.4298890135238936
2200,-120.79400747121625,-411.1232887153325,6.338873401880265,85,0.4213342221547681
2300,-107.34443695473746,-411.1232887153325,6.117665581703186,86,0.41712087993322045
2400,-107.34443695473746,-411.1232887153325,6.607830376625061,86,0.41712087993322045
2500,-96.34161539385204,-59.196339658696616,7.003806071281433,87,0.41294967113388825
2600,-92.6198378082252,-59.196339658696616,7.898082988262177,88,0.40882017442254937
2700,-86.92037032102421,-59.196339658696616,7.720284018516541,89,0.4047319726783239
2800,-87.42867122651884,-59.196339658696616,7.020289263725281,91,0.39667780642202527
2900,-87.42867122651884,-59.196339658696616,6.80442373752594,91,0.39667780642202527
3000,-100.4794936509351,-107.85555675419482,6.665610275268555,93,0.38878391807422696
3100,-91.02593316628743,-107.85555675419482,7.935923674106598,94,0.3848960788934847
3200,-90.87270026112193,-107.85555675419482,7.086568489074707,95,0.38104711810454983
3300,-90.87270026112193,-107.85555675419482,6.9804347896575925,95,0.38104711810454983
3400,-90.18497701531938,-107.85555675419482,6.364207715988159,96,0.37723664692350434
3500,-91.07288845905974,-177.43389047520793,6.53535255074501,97,0.37346428045426927
3600,-85.47376666031704,-177.43389047520793,6.267047371864319,100,0.36237201786049694
3700,-85.47376666031704,-177.43389047520793,6.6459912586212155,100,0.36237201786049694
3800,-83.88079172330517,-177.43389047520793,6.269331588745117,101,0.358748297681892
3900,-79.92949074636485,-177.43389047520793,6.571024072170258,102,0.35516081470507305
4000,-79.92949074636485,60.120258715982324,6.626310999393463,102,0.35516081470507305
4100,-76.26289972493605,60.120258715982324,6.708546795845032,103,0.3516092065580223
4200,-76.26289972493605,60.120258715982324,6.516085751056671,103,0.3516092065580223
4300,-80.1732022936596,60.120258715982324,6.161455125808716,104,0.34809311449244207
