Iteration,Train reward,Eval reward,TD loss,Episode,Epsilon
0,nan,-585.5366216608347,nan,0,0.99
100,-101.2779691912917,-585.5366216608347,1.0244649648666382,2,0.9702989999999999
200,-100.15390684990444,-585.5366216608347,-15.891884261965751,3,0.96059601
300,-117.22948453720892,-585.5366216608347,-41.974190902709964,4,0.9509900498999999
400,-148.26812065319024,-585.5366216608347,-41.322421913146975,5,0.9414801494009999
500,-140.85161187045534,-460.973094941499,-41.650088958740234,6,0.9320653479069899
600,-147.90353417216028,-460.973094941499,90.87739128112793,8,0.9135172474836407
700,-162.98624486612496,-460.973094941499,90.08854461669922,9,0.9043820750088043
800,-172.0447370837809,-460.973094941499,90.29737457275391,10,0.8953382542587163
900,-179.21891434202115,-460.973094941499,90.32070251464843,11,0.8863848717161291
1000,-186.97261654139922,-242.0860910084135,90.62891189575195,12,0.8775210229989678
1100,-180.4519940604502,-242.0860910084135,93.44552185058593,13,0.8687458127689781
1200,-185.72328878279492,-242.0860910084135,93.56931503295898,14,0.8600583546412883
1300,-182.26543390840303,-242.0860910084135,93.27473274230957,15,0.8514577710948754
1400,-176.62191329480424,-242.0860910084135,93.26084419250488,16,0.8429431933839266
1500,-173.3916484259564,-175.93335321830932,93.39881698608399,17,0.8345137614500874
1600,-163.53468734819396,-175.93335321830932,92.49221290588379,19,0.8179069375972307
1700,-160.34890594092502,-175.93335321830932,91.42474662780762,20,0.8097278682212583
1800,-164.31310862368434,-175.93335321830932,91.5798380279541,21,0.8016305895390458
1900,-162.96684562996984,-175.93335321830932,91.89988906860351,22,0.7936142836436553
2000,-167.920687155625,-125.86089927371184,91.61428474426269,23,0.7856781408072188
2100,-160.5595343030938,-125.86089927371184,90.03210556030274,24,0.7778213593991465
2200,-155.09743324879994,-125.86089927371184,89.11274475097656,25,0.7700431458051551
2300,-150.75183578846702,-125.86089927371184,89.71887390136719,26,0.7623427143471035
2400,-142.67047016426844,-125.86089927371184,89.09702110290527,27,0.7547192872036325
2500,-140.394549953787,-96.1702473896117,89.07923477172852,28,0.7471720943315961
2600,-119.95223740281465,-96.1702473896117,86.78585983276368,30,0.7323033696543974
2700,-116.82308939615157,-96.1702473896117,87.14303367614747,31,0.7249803359578534
2800,-116.82308939615157,-96.1702473896117,86.69405166625977,31,0.7249803359578534
2900,-106.18333133341484,-96.1702473896117,85.95131698608398,32,0.7177305325982748
3000,-104.1814511926437,-134.554326844088,86.89486312866211,33,0.7105532272722921
3100,-90.53089109506254,-134.554326844088,83.65557022094727,35,0.6964132180495735
3200,-89.23160476080868,-134.554326844088,83.64029899597168,36,0.6894490858690777
3300,-92.59040044391216,-134.554326844088,83.68242568969727,37,0.682554595010387
3400,-92.93695933718801,-134.554326844088,83.32672706604004,38,0.6757290490602831
3500,-92.93695933718801,-152.84299308866753,83.13849494934082,38,0.6757290490602831
3600,-86.58259441061483,-152.84299308866753,81.96633041381835,40,0.6622820409839835
3700,-86.58259441061483,-152.84299308866753,81.54477966308593,40,0.6622820409839835
3800,-84.02298774478598,-152.84299308866753,81.02001419067383,41,0.6556592205741436
3900,-85.56542814329393,-152.84299308866753,81.58881729125977,42,0.6491026283684022
4000,-85.46908509227072,-233.40465423341897,81.52625213623047,43,0.6426116020847181
