Iteration,Train reward,Eval reward,TD loss,Episode,Epsilon
0,nan,-145.22452093723388,nan,0,0.99
100,-99.84268952924498,-145.22452093723388,nan,1,0.9801
200,-207.36414559920348,-145.22452093723388,nan,2,0.9702989999999999
300,-187.40311786849568,-145.22452093723388,nan,3,0.96059601
400,-162.4901002452786,-145.22452093723388,nan,5,0.9414801494009999
500,-161.28598983492705,-134.45301177015244,316.582275390625,6,0.9320653479069899
600,-165.29434916550593,-134.45301177015244,119.26398853540421,8,0.9135172474836407
700,-212.6940298342211,-134.45301177015244,134.0430655515194,9,0.9043820750088043
800,-208.81440133098462,-134.45301177015244,130.8092804157734,10,0.8953382542587163
900,-198.1584916862076,-134.45301177015244,75.71193107366562,11,0.8863848717161291
1000,-191.76697226251702,-347.560725849404,85.87250033736228,12,0.8775210229989678
1100,-186.37016448888443,-347.560725849404,116.762986484766,14,0.8600583546412883
1200,-179.58078221573518,-347.560725849404,84.73593738913536,15,0.8514577710948754
1300,-181.64491036451489,-347.560725849404,83.54688470721244,16,0.8429431933839266
1400,-194.33224705834803,-347.560725849404,73.26601263165475,17,0.8345137614500874
1500,-194.33224705834803,-439.25016702862695,60.244394421577454,17,0.8345137614500874
1600,-204.18883746518,-439.25016702862695,65.05071752429008,18,0.8261686238355865
1700,-194.84609832265542,-439.25016702862695,89.79535760998726,20,0.8097278682212583
1800,-194.84609832265542,-439.25016702862695,72.51990531206131,20,0.8097278682212583
1900,-197.9462151778893,-439.25016702862695,60.6239208483696,21,0.8016305895390458
2000,-190.77295250106647,-504.8267126813075,67.89930247783661,22,0.7936142836436553
2100,-190.56871262091232,-504.8267126813075,47.13520536661148,23,0.7856781408072188
2200,-193.54404359887286,-504.8267126813075,51.74812412500381,24,0.7778213593991465
2300,-191.20981220331106,-504.8267126813075,59.35377130270004,25,0.7700431458051551
2400,-192.6870955592231,-504.8267126813075,74.18120737552643,26,0.7623427143471035
2500,-185.4504035956815,-414.9198668151772,42.83093203067779,27,0.7547192872036325
2600,-186.93131305474898,-414.9198668151772,48.78680137634277,28,0.7471720943315961
2700,-159.11629062663238,-414.9198668151772,51.1304570376873,29,0.7397003733882802
2800,-152.72974286368697,-414.9198668151772,47.043706052303314,30,0.7323033696543974
2900,-152.72974286368697,-414.9198668151772,48.06344762444496,30,0.7323033696543974
3000,-152.68989249503542,-319.4607003691319,52.29125831365585,31,0.7249803359578534
3100,-146.11144171596902,-319.4607003691319,41.22593215227127,32,0.7177305325982748
3200,-140.02057608044746,-319.4607003691319,56.92344263076782,33,0.7105532272722921
3300,-140.02057608044746,-319.4607003691319,41.89182602763176,33,0.7105532272722921
3400,-141.46635303829694,-319.4607003691319,56.56764179348946,35,0.6964132180495735
3500,-141.46635303829694,-218.61064177495314,37.14485558629036,35,0.6964132180495735
3600,-130.7296169221291,-218.61064177495314,33.384327607154844,36,0.6894490858690777
3700,-118.45030215879379,-218.61064177495314,35.9750358748436,37,0.682554595010387
3800,-99.25265421368854,-218.61064177495314,33.14981917500496,38,0.6757290490602831
3900,-99.59087229797893,-218.61064177495314,42.47183531761169,39,0.6689717585696803
4000,-93.01240536047086,-132.47919826552896,41.56722835421562,40,0.6622820409839835
4100,-85.12000369075929,-132.47919826552896,40.59567965388298,41,0.6556592205741436
4200,-76.28712278193609,-132.47919826552896,37.357073154449466,42,0.6491026283684022
4300,-72.96001656559133,-132.47919826552896,36.629260116815566,43,0.6426116020847181
4400,-72.96001656559133,-132.47919826552896,52.463751306533815,43,0.6426116020847181
4500,-70.86377824602037,-86.95712224460635,39.268266382217405,44,0.6361854860638709
4600,-64.3616780239898,-86.95712224460635,32.303833397626875,45,0.6298236312032323
4700,-59.73668566329707,-86.95712224460635,37.26876588821411,46,0.6235253948912
4800,-60.63938959822995,-86.95712224460635,41.44275350570679,47,0.617290140942288
4900,-55.59651390323726,-86.95712224460635,24.55881095290184,48,0.6111172395328651
5000,-55.59651390323726,-84.09793302533211,33.18622437953949,48,0.6111172395328651
5100,-54.5881917743611,-84.09793302533211,31.314982070922852,49,0.6050060671375365
5200,-51.37892717035246,-84.09793302533211,20.97333389401436,50,0.5989560064661611
5300,-51.37892717035246,-84.09793302533211,31.93696255683899,50,0.5989560064661611
5400,-53.95522184247187,-84.09793302533211,36.185547662973406,51,0.5929664464014994
5500,-58.462154796805564,-178.39503519617273,32.43663929104805,52,0.5870367819374844
5600,-52.68547114961482,-178.39503519617273,31.49444121360779,54,0.5753547499769285
5700,-52.68547114961482,-178.39503519617273,14.275068386793137,54,0.5753547499769285
5800,-53.263009470469186,-178.39503519617273,16.807517572641373,55,0.5696012024771592
5900,-55.78356819126013,-178.39503519617273,21.053566691875456,56,0.5639051904523876
6000,-53.180478772121816,-120.18760986007479,34.83006682515144,57,0.5582661385478638
6100,-54.40872350856402,-120.18760986007479,37.62812215805054,58,0.5526834771623851
6200,-50.624605002200745,-120.18760986007479,26.986442966461183,59,0.5471566423907612
6300,-50.624605002200745,-120.18760986007479,22.34317398548126,59,0.5471566423907612
6400,-57.374036724182204,-120.18760986007479,31.438272745609282,60,0.5416850759668536
6500,-60.044610635815275,-74.13699364098309,19.203050671815873,61,0.536268225207185
6600,-60.468664158173894,-74.13699364098309,31.287066848278045,62,0.5309055429551132
6700,-57.25732850894957,-74.13699364098309,20.80746164560318,63,0.525596487525562
6800,-58.4851176673119,-74.13699364098309,26.866671295166014,64,0.5203405226503064
6900,-58.4851176673119,-74.13699364098309,33.13691340208054,64,0.5203405226503064
7000,-61.988947562949065,-193.8828113358664,22.062107373476028,65,0.5151371174238033
7100,-61.382821529609394,-193.8828113358664,30.778765077590943,66,0.5099857462495653
7200,-65.65581329879012,-193.8828113358664,39.9107576584816,67,0.5048858887870696
7300,-65.65581329879012,-193.8828113358664,17.50792042732239,67,0.5048858887870696
7400,-65.65581329879012,-193.8828113358664,25.93442886710167,67,0.5048858887870696
7500,-65.95811924490631,-201.35139509255043,27.76841620206833,68,0.4998370298991989
7600,-69.1982471361889,-201.35139509255043,21.594119262695312,69,0.49483865960020695
7700,-69.1982471361889,-201.35139509255043,24.143710342645644,69,0.49483865960020695
7800,-69.1982471361889,-201.35139509255043,29.32168619275093,69,0.49483865960020695
7900,-75.52089629036684,-201.35139509255043,42.254670966863635,70,0.4898902730042049
8000,-75.52089629036684,-121.82487424201182,35.857609556913374,70,0.4898902730042049
8100,-64.90853299599183,-121.82487424201182,28.52588086605072,71,0.48499137027416284
8200,-65.85597078036953,-121.82487424201182,10.665525002479553,72,0.4801414565714212
8300,-65.85597078036953,-121.82487424201182,39.19285545945168,72,0.4801414565714212
8400,-65.85597078036953,-121.82487424201182,28.59869454264641,72,0.4801414565714212
8500,-65.89153303093481,-72.60695733004141,39.2406337583065,73,0.475340042005707
8600,-62.14106771519522,-72.60695733004141,31.990537564754487,74,0.47058664158564995
8700,-60.95794380192626,-72.60695733004141,7.529541984796524,75,0.4658807751697934
8800,-59.78904190588271,-72.60695733004141,19.465561865568162,76,0.4612219674180955
8900,-59.78904190588271,-72.60695733004141,32.59330883145332,76,0.4612219674180955
9000,-59.78904190588271,-93.48739440343364,13.142464488744736,76,0.4612219674180955
9100,-51.99031818067149,-93.48739440343364,14.345366605520248,77,0.45660974774391455
9200,-51.99031818067149,-93.48739440343364,15.778053150177001,77,0.45660974774391455
9300,-55.53735789692479,-93.48739440343364,25.94816027879715,78,0.4520436502664754
9400,-55.53735789692479,-93.48739440343364,32.21715900063515,78,0.4520436502664754
9500,-55.53735789692479,-109.93489462594212,34.950758020877835,78,0.4520436502664754
9600,-50.20128755548468,-109.93489462594212,36.89317994475365,79,0.44752321376381066
9700,-47.54065296918862,-109.93489462594212,25.188395268917084,80,0.44304798162617254
9800,-47.54065296918862,-109.93489462594212,32.45055188536644,80,0.44304798162617254
9900,-47.54065296918862,-109.93489462594212,25.098469260931015,80,0.44304798162617254
10000,-46.33293870766479,-107.91997650111016,39.80244826674461,81,0.4386175018099108
10100,-46.225805931209294,-107.91997650111016,11.640092407464982,82,0.4342313267918117
10200,-46.225805931209294,-107.91997650111016,24.02881043076515,82,0.4342313267918117
10300,-46.225805931209294,-107.91997650111016,22.283848736286163,82,0.4342313267918117
10400,-53.90095874294279,-107.91997650111016,18.281763745546343,83,0.4298890135238936
10500,-53.90095874294279,-70.46573733792066,26.528494065999986,83,0.4298890135238936
10600,-45.32466082578528,-70.46573733792066,40.30866790413857,84,0.42559012338865465
10700,-45.32466082578528,-70.46573733792066,38.95275963306427,84,0.42559012338865465
10800,-49.611285801911535,-70.46573733792066,22.315439199209212,85,0.4213342221547681
10900,-49.611285801911535,-70.46573733792066,15.966799496412277,85,0.4213342221547681
11000,-49.611285801911535,-88.92234440130397,27.918197852373122,85,0.4213342221547681
11100,-42.654755658759306,-88.92234440130397,60.46215823054314,86,0.41712087993322045
11200,-42.654755658759306,-88.92234440130397,31.564285463094713,86,0.41712087993322045
11300,-42.654755658759306,-88.92234440130397,12.4348195540905,86,0.41712087993322045
