Iteration,Train reward,Eval reward,TD loss,Episode,Epsilon
0,nan,-242.8030429543938,nan,0,0.9
100,-103.03586304797987,-242.8030429543938,nan,1,0.8955
200,-237.35536783412627,-242.8030429543938,nan,2,0.8910224999999999
300,-253.75581244562267,-242.8030429543938,nan,4,0.8821345505625
400,-253.75581244562267,-242.8030429543938,nan,4,0.8821345505625
500,-268.43761894429696,-184.44323509188305,22.58882713317871,5,0.8777238778096875
600,-246.3026137295262,-184.44323509188305,142.84470839738844,6,0.8733352584206391
700,-226.39132553311342,-184.44323509188305,128.0829419541359,7,0.8689685821285359
800,-225.67462118756544,-184.44323509188305,141.95941378355027,8,0.8646237392178933
900,-225.6237482514129,-184.44323509188305,98.90200850129128,9,0.8603006205218038
1000,-218.5593788133342,-452.37496483363776,116.15317066192627,10,0.8559991174191948
1100,-194.344911204567,-452.37496483363776,102.64110596776008,12,0.8474605262229382
1200,-186.95002542183283,-452.37496483363776,99.33483332395554,13,0.8432232235918236
1300,-178.79634878509518,-452.37496483363776,130.90834134936333,14,0.8390071074738644
1400,-191.53597849321983,-452.37496483363776,106.02950876474381,15,0.8348120719364951
1500,-187.4301717782066,-61.0900860499289,86.26380639314651,16,0.8306380115768126
1600,-173.29469103668114,-61.0900860499289,91.08078656196594,18,0.8223523974113339
1700,-170.261177352512,-61.0900860499289,99.82948969960212,19,0.8182406354242773
1800,-176.33131336133422,-61.0900860499289,119.13952382802964,20,0.8141494322471559
1900,-183.45837473153333,-61.0900860499289,91.03138224124909,21,0.8100786850859201
2000,-170.29595628375475,-212.01126824505386,114.14985724568368,22,0.8060282916604905
2100,-149.2742477087172,-212.01126824505386,125.20710924983024,24,0.7979881594511771
2200,-139.05124623502564,-212.01126824505386,100.12677046060563,25,0.7939982186539212
2300,-139.05124623502564,-212.01126824505386,90.99345893502236,25,0.7939982186539212
2400,-142.57180793671205,-212.01126824505386,96.45368410468102,26,0.7900282275606516
2500,-143.61481768283892,-301.20587084218687,92.40768602848053,27,0.7860780864228484
2600,-135.77803499987613,-301.20587084218687,95.45450582385064,28,0.7821476959907341
2700,-131.01590193481996,-301.20587084218687,88.63752061486244,29,0.7782369575107804
2800,-131.01590193481996,-301.20587084218687,88.71466344356537,29,0.7782369575107804
2900,-127.72217096382708,-301.20587084218687,73.26766204237938,30,0.7743457727232265
3000,-142.33773403826413,-229.75813233530204,88.26205864667892,31,0.7704740438596104
3100,-139.62584923214166,-229.75813233530204,124.0324645781517,32,0.7666216736403123
3200,-141.32002411222652,-229.75813233530204,118.75207077145576,33,0.7627885652721107
3300,-145.84841822513985,-229.75813233530204,104.35707902550698,34,0.7589746224457501
3400,-129.258801581613,-229.75813233530204,92.4400560593605,35,0.7551797493335214
3500,-125.33113342146666,-118.17897443339284,72.87933749437332,36,0.7514038505868538
3600,-125.07674231518641,-118.17897443339284,121.37141086876392,38,0.7439085971772499
3700,-127.19780382785427,-118.17897443339284,102.31280905723571,39,0.7401890541913636
3800,-116.02269555325579,-118.17897443339284,124.97099704682827,40,0.7364881089204068
3900,-108.84999435633824,-118.17897443339284,88.36598246335983,41,0.7328056683758049
4000,-111.08150393285817,-152.86886525037818,95.99997199058532,42,0.7291416400339258
4100,-110.76226843333097,-152.86886525037818,128.17147370100022,43,0.7254959318337562
4200,-109.0644789014987,-152.86886525037818,91.90687401235104,44,0.7218684521745874
4300,-108.59789942588995,-152.86886525037818,125.66365474700928,45,0.7182591099137144
4400,-105.26891607000377,-152.86886525037818,77.0434331792593,46,0.7146678143641458
4500,-104.36601020490187,-91.6483021898334,86.85065891504287,47,0.7110944752923251
4600,-101.19595659688738,-91.6483021898334,103.78324986934662,48,0.7075390029158635
4700,-104.71851827083302,-91.6483021898334,106.32177992224693,49,0.7040013079012841
4800,-103.4756890163327,-91.6483021898334,95.18077273011208,50,0.7004813013617777
4900,-103.4756890163327,-91.6483021898334,92.95570492565632,50,0.7004813013617777
5000,-94.90120708365593,-86.01013179001743,97.6262411236763,51,0.6969788948549688
5100,-91.03733589642533,-86.01013179001743,102.47747021377087,53,0.6900265303787905
5200,-91.03733589642533,-86.01013179001743,123.06046243607997,53,0.6900265303787905
5300,-84.88914622819911,-86.01013179001743,117.4737827950716,54,0.6865763977268965
5400,-90.38216546977789,-86.01013179001743,105.28882767736911,56,0.6797277981595707
5500,-95.25632491993267,-79.46693657708292,136.79837827026844,57,0.6763291591687729
5600,-88.69963218604758,-79.46693657708292,86.17919950008393,58,0.672947513372929
5700,-79.82129207426249,-79.46693657708292,141.92169710159303,59,0.6695827758060644
5800,-89.25561830374632,-79.46693657708292,152.5380825984478,60,0.6662348619270341
5900,-89.25561830374632,-79.46693657708292,124.82824183404446,60,0.6662348619270341
6000,-86.52100318755708,-95.8700481761043,131.01976270377637,61,0.6629036876173989
6100,-86.0624921967536,-95.8700481761043,150.1424090707302,63,0.6562912233334154
6200,-86.97665781483951,-95.8700481761043,94.97220580339432,64,0.6530097672167483
6300,-86.63350519424765,-95.8700481761043,131.17913649380208,65,0.6497447183806646
6400,-85.15710317786774,-95.8700481761043,126.21868101000786,66,0.6464959947887613
6500,-82.83969111755911,-84.04435147630059,138.32559254348277,67,0.6432635148148175
6600,-82.49858870693173,-84.04435147630059,130.2654251176119,68,0.6400471972407433
6700,-78.59012299312221,-84.04435147630059,144.77715311050414,69,0.6368469612545397
6800,-78.59012299312221,-84.04435147630059,120.44852710723877,69,0.6368469612545397
6900,-78.2420878436865,-84.04435147630059,97.21994417071342,70,0.6336627264482669
7000,-69.85681975368564,-84.893085503771,136.0718359708786,71,0.6304944128160256
7100,-68.32769358023455,-84.893085503771,80.31881305158139,72,0.6273419407519455
7200,-64.76461319357954,-84.893085503771,85.80931236088276,73,0.6242052310481858
7300,-64.76461319357954,-84.893085503771,109.91653627216816,73,0.6242052310481858
7400,-65.1513057068066,-84.893085503771,124.02268730044365,74,0.6210842048929449
7500,-65.40671196574098,-48.92979781701531,134.01717538297177,75,0.6179787838684802
7600,-56.41966789339908,-48.92979781701531,128.00461701571942,77,0.611814445499392
7700,-56.41966789339908,-48.92979781701531,129.4880188572407,77,0.611814445499392
7800,-60.96343817768006,-48.92979781701531,83.65597695767879,78,0.608755373271895
